# Time, DeltaP, DeltaP_err
-16.6248, -756.461, 0.0719279
-15.6248, -756.481, 0.0719279
-14.6248, -756.461, 0.0719279
-13.6248, -756.491, 0.0719279
-12.6248, -756.461, 0.0719279
-11.6248, -756.491, 0.0719279
-10.6248, -756.471, 0.0719279
-9.62478, -756.451, 0.0719279
-8.62478, -756.561, 0.0719279
-7.62478, -756.611, 0.0719279
-6.62478, -756.611, 0.0719279
-5.62478, -756.681, 0.0719279
-4.62478, -756.881, 0.0719279
-3.62478, -757.021, 0.0719279
-2.62478, -757.311, 0.0719279
-1.62478, -757.861, 0.0719279
-0.624778, -758.711, 0.0719279
0.375222, -759.051, 0.0719279
1.37522, -757.971, 0.0719279
2.37522, -757.401, 0.0719279
3.37522, -756.961, 0.0719279
4.37522, -756.711, 0.0719279
5.37522, -756.651, 0.0719279
6.37522, -756.561, 0.0719279
7.37522, -756.471, 0.0719279
8.37522, -756.451, 0.0719279
9.37522, -756.401, 0.0719279
10.3752, -756.381, 0.0719279
11.3752, -756.341, 0.0719279
12.3752, -756.301, 0.0719279
13.3752, -756.341, 0.0719279
14.3752, -756.301, 0.0719279
14.3752, -756.281, 0.0719279
15.3752, -756.321, 0.0719279
16.3752, -756.211, 0.0719279
17.3752, -756.211, 0.0719279
