# Time, DeltaP
-16.6248, -0.145653
-15.6248, -0.143419
-14.6248, -0.142111
-13.6248, -0.142003
-12.6248, -0.143477
-11.6248, -0.147076
-10.6248, -0.1536
-9.62478, -0.16425
-8.62478, -0.180907
-7.62478, -0.206632
-6.62478, -0.246636
-5.62478, -0.3103
-4.62478, -0.41554
-3.62478, -0.598663
-2.62478, -0.935039
-1.62478, -1.5558
-0.624778, -2.42583
0.375222, -2.58183
1.37522, -1.74735
2.37522, -1.02577
3.37522, -0.618818
4.37522, -0.393274
5.37522, -0.259665
6.37522, -0.174393
7.37522, -0.116197
8.37522, -0.074116
9.37522, -0.0421469
10.3752, -0.0168113
11.3752, 0.00400579
12.3752, 0.0216451
13.3752, 0.0369879
14.3752, 0.0506312
14.3752, 0.0506312
15.3752, 0.062991
16.3752, 0.074364
17.3752, 0.084966
