# Time, DeltaP
-253.26, -0.18907
-252.26, -0.188366
-251.26, -0.187662
-250.26, -0.186959
-249.26, -0.186256
-248.26, -0.185553
-247.26, -0.18485
-246.26, -0.184148
-245.26, -0.183447
-244.26, -0.182745
-243.26, -0.182044
-242.26, -0.181344
-241.26, -0.180644
-240.26, -0.179944
-239.26, -0.179245
-238.26, -0.178546
-237.26, -0.177847
-236.26, -0.177149
-235.26, -0.176451
-234.26, -0.175754
-233.26, -0.175057
-232.26, -0.174361
-231.26, -0.173665
-230.26, -0.17297
-230.26, -0.17297
-229.26, -0.172275
-228.26, -0.17158
-227.26, -0.170886
-226.26, -0.170193
-225.26, -0.1695
-224.26, -0.168807
-223.26, -0.168115
-222.26, -0.167424
-221.26, -0.166733
-220.26, -0.166043
-219.26, -0.165353
-218.26, -0.164664
-217.26, -0.163976
-216.26, -0.163288
-215.26, -0.1626
-214.26, -0.161914
-213.26, -0.161228
-212.26, -0.160542
-211.26, -0.159858
-210.26, -0.159173
-209.26, -0.15849
-208.26, -0.157807
-207.26, -0.157125
-206.26, -0.156444
-205.26, -0.155763
-204.26, -0.155084
-203.26, -0.154405
-202.26, -0.153726
-201.26, -0.153049
-200.26, -0.152372
-199.26, -0.151696
-198.26, -0.151021
-197.26, -0.150347
-196.26, -0.149674
-195.26, -0.149002
-194.26, -0.14833
-193.26, -0.14766
-193.26, -0.14766
-192.26, -0.14699
-191.26, -0.146321
-190.26, -0.145654
-189.26, -0.144987
-188.26, -0.144321
-187.26, -0.143657
-186.26, -0.142993
-185.26, -0.142331
-184.26, -0.14167
-183.26, -0.14101
-182.26, -0.140351
-181.26, -0.139693
-180.26, -0.139036
-179.26, -0.138381
-178.26, -0.137727
-177.26, -0.137074
-176.26, -0.136422
-175.26, -0.135772
-174.26, -0.135124
-173.26, -0.134476
-172.26, -0.13383
-171.26, -0.133186
-170.26, -0.132543
-169.26, -0.131902
-168.26, -0.131262
-167.26, -0.130624
-166.26, -0.129987
-165.26, -0.129353
-164.26, -0.128719
-163.26, -0.128088
-162.26, -0.127459
-161.26, -0.126831
-160.26, -0.126205
-159.26, -0.125582
-158.26, -0.12496
-157.26, -0.12434
-156.26, -0.123723
-156.26, -0.123723
-155.26, -0.123107
-154.26, -0.122494
-153.26, -0.121883
-152.26, -0.121274
-151.26, -0.120668
-150.26, -0.120064
-149.26, -0.119463
-148.26, -0.118864
-147.26, -0.118268
-146.26, -0.117674
-145.26, -0.117083
-144.26, -0.116496
-143.26, -0.115911
-142.26, -0.115329
-141.26, -0.11475
-140.26, -0.114174
-139.26, -0.113602
-138.26, -0.113032
-137.26, -0.112467
-136.26, -0.111904
-135.26, -0.111346
-134.26, -0.110791
-133.26, -0.11024
-132.26, -0.109693
-131.26, -0.10915
-130.26, -0.108611
-129.26, -0.108077
-128.26, -0.107546
-127.26, -0.107021
-126.26, -0.1065
-125.26, -0.105984
-124.26, -0.105473
-123.26, -0.104967
-122.26, -0.104466
-121.26, -0.103971
-120.26, -0.103481
-120.26, -0.103481
-119.26, -0.102997
-118.26, -0.102519
-117.26, -0.102048
-116.26, -0.101582
-115.26, -0.101123
-114.26, -0.100671
-113.26, -0.100226
-112.26, -0.0997886
-111.26, -0.0993583
-110.26, -0.0989357
-109.26, -0.098521
-108.26, -0.0981146
-107.26, -0.0977168
-106.26, -0.0973278
-105.26, -0.0969479
-104.26, -0.0965775
-103.26, -0.0962168
-102.26, -0.0958663
-101.26, -0.0955263
-100.26, -0.0951972
-99.2602, -0.0948794
-98.2602, -0.0945733
-97.2602, -0.0942793
-96.2602, -0.0939978
-95.2602, -0.0937295
-94.2602, -0.0934746
-93.2602, -0.0932339
-92.2602, -0.0930078
-91.2602, -0.0927968
-90.2602, -0.0926016
-89.2602, -0.0924229
-88.2602, -0.0922612
-87.2602, -0.0921172
-86.2602, -0.0919917
-85.2602, -0.0918855
-84.2602, -0.0917992
-83.2602, -0.0917338
-83.2602, -0.0917338
-82.2602, -0.0916902
-81.2602, -0.0916691
-80.2602, -0.0916717
-79.2602, -0.091699
-78.2602, -0.0917519
-77.2602, -0.0918317
-76.2602, -0.0919396
-75.2602, -0.0920766
-74.2602, -0.0922443
-73.2602, -0.092444
-72.2602, -0.0926771
-71.2602, -0.0929452
-70.2602, -0.0932499
-69.2602, -0.093593
-68.2602, -0.0939762
-67.2602, -0.0944015
-66.2602, -0.0948709
-65.2602, -0.0953865
-64.2602, -0.0959507
-63.2602, -0.0965657
-62.2602, -0.0972342
-61.2602, -0.0979587
-60.2602, -0.0987422
-59.2602, -0.0995876
-58.2602, -0.100498
-57.2602, -0.101477
-56.2602, -0.102528
-55.2602, -0.103655
-54.2602, -0.104861
-53.2602, -0.106151
-52.2602, -0.10753
-51.2602, -0.109002
-50.2602, -0.110572
-49.2602, -0.112245
-48.2602, -0.114027
-47.2602, -0.115924
-46.2602, -0.117942
-46.2602, -0.117942
-45.2602, -0.120087
-44.2602, -0.122367
-43.2602, -0.124788
-42.2602, -0.127358
-41.2602, -0.130086
-40.2602, -0.132978
-39.2602, -0.136045
-38.2602, -0.139294
-37.2602, -0.142736
-36.2602, -0.146379
-35.2602, -0.150234
-34.2602, -0.154309
-33.2602, -0.158617
-32.2602, -0.163165
-31.2602, -0.167965
-30.2602, -0.173026
-29.2602, -0.178356
-28.2602, -0.183964
-27.2602, -0.189857
-26.2602, -0.196041
-25.2602, -0.202521
-24.2602, -0.209298
-23.2602, -0.216371
-22.2602, -0.223736
-21.2602, -0.231386
-20.2602, -0.239308
-19.2602, -0.247482
-18.2602, -0.255886
-17.2602, -0.264487
-16.2602, -0.273247
-15.2602, -0.282117
-14.2602, -0.29104
-13.2602, -0.29995
-12.2602, -0.308771
-11.2602, -0.317418
-10.2602, -0.325797
-10.2602, -0.325797
-9.26015, -0.333806
-8.26015, -0.341338
-7.26015, -0.348284
-6.26015, -0.354534
-5.26015, -0.359978
-4.26015, -0.364517
-3.26015, -0.368061
-2.26015, -0.370532
-1.26015, -0.371872
-0.260153, -0.372042
0.739847, -0.371024
1.73985, -0.368825
2.73985, -0.365471
3.73985, -0.361013
4.73985, -0.355516
5.73985, -0.349066
6.73985, -0.341758
7.73985, -0.333696
8.73985, -0.32499
9.73985, -0.31575
10.7398, -0.306086
11.7398, -0.296102
12.7398, -0.285895
13.7398, -0.275557
14.7398, -0.265167
15.7398, -0.254796
16.7398, -0.244508
17.7398, -0.234355
18.7398, -0.224379
19.7398, -0.214617
20.7398, -0.205096
21.7398, -0.195838
22.7398, -0.186859
23.7398, -0.178168
24.7398, -0.169772
25.7398, -0.161673
26.7398, -0.153871
26.7398, -0.153871
27.7398, -0.146362
28.7398, -0.139142
29.7398, -0.132203
30.7398, -0.125539
31.7398, -0.11914
32.7398, -0.112997
33.7398, -0.107101
34.7398, -0.101441
35.7398, -0.0960076
36.7398, -0.0907908
37.7398, -0.0857808
38.7398, -0.0809679
39.7398, -0.0763426
40.7398, -0.0718959
41.7398, -0.0676189
42.7398, -0.0635032
43.7398, -0.0595406
44.7398, -0.0557236
45.7398, -0.0520445
46.7398, -0.0484964
47.7398, -0.0450727
48.7398, -0.0417668
49.7398, -0.0385729
50.7398, -0.0354851
51.7398, -0.0324982
52.7398, -0.0296068
53.7398, -0.0268063
54.7398, -0.024092
55.7398, -0.0214596
56.7398, -0.018905
57.7398, -0.0164243
58.7398, -0.0140138
59.7398, -0.0116702
60.7398, -0.00939017
61.7398, -0.00717057
62.7398, -0.00500852
63.7398, -0.00290127
63.7398, -0.00290127
64.7398, -0.000846211
65.7398, 0.00115912
66.7398, 0.00311704
67.7398, 0.00502977
68.7398, 0.00689939
69.7398, 0.00872786
70.7398, 0.0105171
71.7398, 0.0122688
72.7398, 0.0139846
73.7398, 0.0156663
74.7398, 0.0173152
75.7398, 0.0189327
76.7398, 0.0205204
77.7398, 0.0220794
78.7398, 0.0236109
79.7398, 0.0251161
80.7398, 0.0265962
81.7398, 0.0280521
82.7398, 0.0294848
83.7398, 0.0308954
84.7398, 0.0322846
85.7398, 0.0336534
86.7398, 0.0350026
87.7398, 0.0363329
88.7398, 0.0376451
89.7398, 0.0389398
90.7398, 0.0402179
91.7398, 0.0414798
92.7398, 0.0427263
93.7398, 0.0439578
94.7398, 0.045175
95.7398, 0.0463783
96.7398, 0.0475684
97.7398, 0.0487456
98.7398, 0.0499105
99.7398, 0.0510634
99.7398, 0.0510634
100.74, 0.0522049
101.74, 0.0533353
102.74, 0.0544549
103.74, 0.0555643
104.74, 0.0566637
105.74, 0.0577534
106.74, 0.0588339
107.74, 0.0599053
108.74, 0.0609681
109.74, 0.0620225
110.74, 0.0630687
111.74, 0.0641071
112.74, 0.0651379
113.74, 0.0661614
114.74, 0.0671777
115.74, 0.0681872
116.74, 0.0691899
117.74, 0.0701862
118.74, 0.0711763
119.74, 0.0721602
120.74, 0.0731383
121.74, 0.0741107
122.74, 0.0750776
123.74, 0.0760391
124.74, 0.0769954
125.74, 0.0779466
126.74, 0.0788929
127.74, 0.0798345
128.74, 0.0807715
129.74, 0.0817039
130.74, 0.0826321
131.74, 0.0835559
132.74, 0.0844757
133.74, 0.0853915
134.74, 0.0863034
135.74, 0.0872115
136.74, 0.0881159
136.74, 0.0881159
137.74, 0.0890167
138.74, 0.0899141
139.74, 0.0908081
140.74, 0.0916988
141.74, 0.0925863
142.74, 0.0934707
143.74, 0.094352
144.74, 0.0952304
145.74, 0.0961059
146.74, 0.0969786
147.74, 0.0978485
148.74, 0.0987158
149.74, 0.0995805
150.74, 0.100443
151.74, 0.101302
152.74, 0.10216
153.74, 0.103015
154.74, 0.103867
155.74, 0.104718
156.74, 0.105566
157.74, 0.106412
158.74, 0.107256
159.74, 0.108098
160.74, 0.108938
161.74, 0.109776
162.74, 0.110613
163.74, 0.111447
164.74, 0.11228
165.74, 0.11311
166.74, 0.11394
167.74, 0.114767
168.74, 0.115593
169.74, 0.116417
170.74, 0.11724
171.74, 0.118061
172.74, 0.118881
173.74, 0.119699
173.74, 0.119699
174.74, 0.120515
175.74, 0.121331
176.74, 0.122145
177.74, 0.122957
178.74, 0.123769
179.74, 0.124579
180.74, 0.125388
181.74, 0.126195
182.74, 0.127002
183.74, 0.127807
184.74, 0.128611
185.74, 0.129414
186.74, 0.130216
187.74, 0.131016
188.74, 0.131816
189.74, 0.132615
190.74, 0.133412
191.74, 0.134209
192.74, 0.135004
193.74, 0.135799
194.74, 0.136593
195.74, 0.137386
196.74, 0.138178
197.74, 0.138969
198.74, 0.139759
199.74, 0.140548
200.74, 0.141337
201.74, 0.142125
202.74, 0.142911
203.74, 0.143698
204.74, 0.144483
205.74, 0.145267
206.74, 0.146051
207.74, 0.146834
208.74, 0.147617
209.74, 0.148399
210.74, 0.14918
210.74, 0.14918
211.74, 0.14996
212.74, 0.15074
213.74, 0.151519
214.74, 0.152297
215.74, 0.153075
216.74, 0.153852
217.74, 0.154628
218.74, 0.155404
219.74, 0.15618
220.74, 0.156955
221.74, 0.157729
222.74, 0.158502
223.74, 0.159276
224.74, 0.160048
225.74, 0.16082
226.74, 0.161592
227.74, 0.162363
228.74, 0.163133
229.74, 0.163903
230.74, 0.164673
231.74, 0.165442
232.74, 0.166211
233.74, 0.166979
234.74, 0.167747
235.74, 0.168514
236.74, 0.169281
237.74, 0.170047
238.74, 0.170813
239.74, 0.171579
240.74, 0.172344
241.74, 0.173109
242.74, 0.173873
243.74, 0.174637
244.74, 0.175401
245.74, 0.176164
246.74, 0.176927
246.74, 0.176927
247.74, 0.177689
248.74, 0.178452
249.74, 0.179213
250.74, 0.179975
251.74, 0.180736
252.74, 0.181497
253.74, 0.182257
254.74, 0.183017
255.74, 0.183777
256.74, 0.184537
257.74, 0.185296
258.74, 0.186055
259.74, 0.186813
260.74, 0.187572
261.74, 0.18833
262.74, 0.189087
263.74, 0.189845
264.74, 0.190602
265.74, 0.191359
266.74, 0.192115
267.74, 0.192871
268.74, 0.193628
269.74, 0.194383
270.74, 0.195139
271.74, 0.195894
272.74, 0.196649
273.74, 0.197404
274.74, 0.198158
275.74, 0.198913
276.74, 0.199667
277.74, 0.200421
278.74, 0.201174
279.74, 0.201928
280.74, 0.202681
281.74, 0.203434
282.74, 0.204187
283.74, 0.204939
283.74, 0.204939
284.74, 0.205691
285.74, 0.206443
286.74, 0.207195
287.74, 0.207947
288.74, 0.208699
289.74, 0.20945
290.74, 0.210201
291.74, 0.210952
292.74, 0.211703
293.74, 0.212453
294.74, 0.213204
295.74, 0.213954
296.74, 0.214704
297.74, 0.215454
298.74, 0.216203
299.74, 0.216953
300.74, 0.217702
301.74, 0.218451
302.74, 0.2192
303.74, 0.219949
304.74, 0.220698
305.74, 0.221446
306.74, 0.222194
307.74, 0.222943
308.74, 0.223691
309.74, 0.224439
310.74, 0.225186
311.74, 0.225934
312.74, 0.226681
313.74, 0.227429
314.74, 0.228176
315.74, 0.228923
316.74, 0.22967
317.74, 0.230417
318.74, 0.231163
319.74, 0.23191
320.74, 0.232656
320.74, 0.232656
321.74, 0.233402
322.74, 0.234148
323.74, 0.234894
324.74, 0.23564
325.74, 0.236386
326.74, 0.237131
327.74, 0.237877
328.74, 0.238622
329.74, 0.239368
330.74, 0.240113
331.74, 0.240858
332.74, 0.241603
333.74, 0.242347
334.74, 0.243092
335.74, 0.243837
336.74, 0.244581
337.74, 0.245326
338.74, 0.24607
339.74, 0.246814
340.74, 0.247558
341.74, 0.248302
342.74, 0.249046
343.74, 0.24979
344.74, 0.250533
345.74, 0.251277
346.74, 0.25202
347.74, 0.252764
348.74, 0.253507
349.74, 0.25425
350.74, 0.254993
351.74, 0.255736
352.74, 0.256479
353.74, 0.257222
354.74, 0.257965
355.74, 0.258707
356.74, 0.25945
356.74, 0.25945
357.74, 0.260192
358.74, 0.260935
359.74, 0.261677
360.74, 0.262419
361.74, 0.263161
362.74, 0.263903
363.74, 0.264645
364.74, 0.265387
365.74, 0.266129
366.74, 0.266871
367.74, 0.267613
368.74, 0.268354
369.74, 0.269096
370.74, 0.269837
371.74, 0.270578
372.74, 0.27132
373.74, 0.272061
374.74, 0.272802
375.74, 0.273543
376.74, 0.274284
377.74, 0.275025
378.74, 0.275766
379.74, 0.276507
380.74, 0.277248
381.74, 0.277988
382.74, 0.278729
383.74, 0.27947
384.74, 0.28021
385.74, 0.280951
386.74, 0.281691
387.74, 0.282431
388.74, 0.283171
389.74, 0.283912
390.74, 0.284652
391.74, 0.285392
392.74, 0.286132
393.74, 0.286872
393.74, 0.286872
394.74, 0.287612
395.74, 0.288352
396.74, 0.289091
397.74, 0.289831
398.74, 0.290571
399.74, 0.29131
400.74, 0.29205
401.74, 0.29279
402.74, 0.293529
403.74, 0.294268
404.74, 0.295008
405.74, 0.295747
406.74, 0.296486
407.74, 0.297226
408.74, 0.297965
409.74, 0.298704
410.74, 0.299443
411.74, 0.300182
412.74, 0.300921
413.74, 0.30166
414.74, 0.302399
415.74, 0.303137
416.74, 0.303876
417.74, 0.304615
418.74, 0.305354
419.74, 0.306092
420.74, 0.306831
421.74, 0.307569
422.74, 0.308308
423.74, 0.309046
424.74, 0.309785
425.74, 0.310523
426.74, 0.311261
427.74, 0.312
428.74, 0.312738
429.74, 0.313476
430.74, 0.314214
430.74, 0.314214
431.74, 0.314953
432.74, 0.315691
433.74, 0.316429
434.74, 0.317167
435.74, 0.317905
436.74, 0.318643
437.74, 0.319381
438.74, 0.320118
439.74, 0.320856
440.74, 0.321594
441.74, 0.322332
442.74, 0.323069
443.74, 0.323807
444.74, 0.324545
445.74, 0.325282
446.74, 0.32602
447.74, 0.326758
448.74, 0.327495
449.74, 0.328232
450.74, 0.32897
451.74, 0.329707
452.74, 0.330445
453.74, 0.331182
454.74, 0.331919
455.74, 0.332657
456.74, 0.333394
457.74, 0.334131
458.74, 0.334868
459.74, 0.335605
460.74, 0.336342
461.74, 0.33708
462.74, 0.337817
463.74, 0.338554
464.74, 0.339291
465.74, 0.340028
466.74, 0.340765
466.74, 0.340765
467.74, 0.341501
468.74, 0.342238
469.74, 0.342975
470.74, 0.343712
471.74, 0.344449
472.74, 0.345186
473.74, 0.345922
474.74, 0.346659
475.74, 0.347396
476.74, 0.348132
477.74, 0.348869
478.74, 0.349606
479.74, 0.350342
480.74, 0.351079
481.74, 0.351815
482.74, 0.352552
483.74, 0.353288
484.74, 0.354025
485.74, 0.354761
486.74, 0.355497
487.74, 0.356234
488.74, 0.35697
489.74, 0.357706
490.74, 0.358443
491.74, 0.359179
492.74, 0.359915
493.74, 0.360652
494.74, 0.361388
495.74, 0.362124
496.74, 0.36286
497.74, 0.363596
498.74, 0.364332
499.74, 0.365068
500.74, 0.365805
501.74, 0.366541
502.74, 0.367277
503.74, 0.368013
503.74, 0.368013
504.74, 0.368749
505.74, 0.369485
506.74, 0.37022
507.74, 0.370956
508.74, 0.371692
509.74, 0.372428
510.74, 0.373164
511.74, 0.3739
512.74, 0.374636
513.74, 0.375371
514.74, 0.376107
515.74, 0.376843
516.74, 0.377579
517.74, 0.378314
518.74, 0.37905
519.74, 0.379786
520.74, 0.380522
521.74, 0.381257
522.74, 0.381993
523.74, 0.382728
524.74, 0.383464
525.74, 0.3842
526.74, 0.384935
527.74, 0.385671
528.74, 0.386406
529.74, 0.387142
530.74, 0.387877
531.74, 0.388613
532.74, 0.389348
533.74, 0.390083
534.74, 0.390819
535.74, 0.391554
536.74, 0.39229
537.74, 0.393025
538.74, 0.39376
539.74, 0.394496
540.74, 0.395231
540.74, 0.395231
541.74, 0.395966
542.74, 0.396702
543.74, 0.397437
544.74, 0.398172
545.74, 0.398907
546.74, 0.399642
547.74, 0.400378
548.74, 0.401113
549.74, 0.401848
550.74, 0.402583
551.74, 0.403318
552.74, 0.404053
553.74, 0.404789
554.74, 0.405524
555.74, 0.406259
556.74, 0.406994
557.74, 0.407729
558.74, 0.408464
559.74, 0.409199
560.74, 0.409934
561.74, 0.410669
562.74, 0.411404
563.74, 0.412139
564.74, 0.412874
565.74, 0.413609
566.74, 0.414344
567.74, 0.415079
568.74, 0.415813
569.74, 0.416548
570.74, 0.417283
571.74, 0.418018
572.74, 0.418753
573.74, 0.419488
574.74, 0.420223
575.74, 0.420957
576.74, 0.421692
576.74, 0.421692
577.74, 0.422427
578.74, 0.423162
579.74, 0.423897
580.74, 0.424631
581.74, 0.425366
582.74, 0.426101
583.74, 0.426835
584.74, 0.42757
585.74, 0.428305
586.74, 0.429039
587.74, 0.429774
588.74, 0.430509
589.74, 0.431243
590.74, 0.431978
591.74, 0.432713
592.74, 0.433447
593.74, 0.434182
594.74, 0.434916
595.74, 0.435651
596.74, 0.436386
597.74, 0.43712
598.74, 0.437855
599.74, 0.438589
600.74, 0.439324
601.74, 0.440058
602.74, 0.440793
603.74, 0.441527
604.74, 0.442262
605.74, 0.442996
606.74, 0.443731
607.74, 0.444465
608.74, 0.445199
609.74, 0.445934
610.74, 0.446668
611.74, 0.447403
612.74, 0.448137
613.74, 0.448871
