# Time, DeltaP
-645.26, -0.47313
-644.26, -0.472399
-643.26, -0.471668
-642.26, -0.470938
-641.26, -0.470207
-640.26, -0.469476
-639.26, -0.468746
-638.26, -0.468015
-637.26, -0.467285
-636.26, -0.466554
-635.26, -0.465824
-634.26, -0.465093
-633.26, -0.464362
-633.26, -0.464362
-632.26, -0.463632
-631.26, -0.462901
-630.26, -0.462171
-629.26, -0.46144
-628.26, -0.46071
-627.26, -0.459979
-626.26, -0.459249
-625.26, -0.458518
-624.26, -0.457788
-623.26, -0.457057
-622.26, -0.456327
-621.26, -0.455596
-620.26, -0.454866
-619.26, -0.454136
-618.26, -0.453405
-617.26, -0.452675
-616.26, -0.451944
-615.26, -0.451214
-614.26, -0.450484
-613.26, -0.449753
-612.26, -0.449023
-611.26, -0.448293
-610.26, -0.447562
-609.26, -0.446832
-608.26, -0.446102
-607.26, -0.445371
-606.26, -0.444641
-605.26, -0.443911
-604.26, -0.44318
-603.26, -0.44245
-602.26, -0.44172
-601.26, -0.44099
-600.26, -0.440259
-599.26, -0.439529
-598.26, -0.438799
-597.26, -0.438069
-597.26, -0.438069
-596.26, -0.437338
-595.26, -0.436608
-594.26, -0.435878
-593.26, -0.435148
-592.26, -0.434418
-591.26, -0.433688
-590.26, -0.432958
-589.26, -0.432227
-588.26, -0.431497
-587.26, -0.430767
-586.26, -0.430037
-585.26, -0.429307
-584.26, -0.428577
-583.26, -0.427847
-582.26, -0.427117
-581.26, -0.426387
-580.26, -0.425657
-579.26, -0.424927
-578.26, -0.424197
-577.26, -0.423467
-576.26, -0.422737
-575.26, -0.422007
-574.26, -0.421277
-573.26, -0.420547
-572.26, -0.419817
-571.26, -0.419087
-570.26, -0.418357
-569.26, -0.417628
-568.26, -0.416898
-567.26, -0.416168
-566.26, -0.415438
-565.26, -0.414708
-564.26, -0.413978
-563.26, -0.413249
-562.26, -0.412519
-561.26, -0.411789
-560.26, -0.411059
-560.26, -0.411059
-559.26, -0.41033
-558.26, -0.4096
-557.26, -0.40887
-556.26, -0.408141
-555.26, -0.407411
-554.26, -0.406681
-553.26, -0.405952
-552.26, -0.405222
-551.26, -0.404492
-550.26, -0.403763
-549.26, -0.403033
-548.26, -0.402304
-547.26, -0.401574
-546.26, -0.400844
-545.26, -0.400115
-544.26, -0.399385
-543.26, -0.398656
-542.26, -0.397926
-541.26, -0.397197
-540.26, -0.396467
-539.26, -0.395738
-538.26, -0.395009
-537.26, -0.394279
-536.26, -0.39355
-535.26, -0.39282
-534.26, -0.392091
-533.26, -0.391362
-532.26, -0.390633
-531.26, -0.389903
-530.26, -0.389174
-529.26, -0.388445
-528.26, -0.387715
-527.26, -0.386986
-526.26, -0.386257
-525.26, -0.385528
-524.26, -0.384799
-523.26, -0.384069
-523.26, -0.384069
-522.26, -0.38334
-521.26, -0.382611
-520.26, -0.381882
-519.26, -0.381153
-518.26, -0.380424
-517.26, -0.379695
-516.26, -0.378966
-515.26, -0.378237
-514.26, -0.377508
-513.26, -0.376779
-512.26, -0.37605
-511.26, -0.375321
-510.26, -0.374592
-509.26, -0.373863
-508.26, -0.373134
-507.26, -0.372406
-506.26, -0.371677
-505.26, -0.370948
-504.26, -0.370219
-503.26, -0.36949
-502.26, -0.368762
-501.26, -0.368033
-500.26, -0.367304
-499.26, -0.366576
-498.26, -0.365847
-497.26, -0.365118
-496.26, -0.36439
-495.26, -0.363661
-494.26, -0.362933
-493.26, -0.362204
-492.26, -0.361476
-491.26, -0.360747
-490.26, -0.360019
-489.26, -0.35929
-488.26, -0.358562
-487.26, -0.357833
-487.26, -0.357833
-486.26, -0.357105
-485.26, -0.356377
-484.26, -0.355648
-483.26, -0.35492
-482.26, -0.354192
-481.26, -0.353464
-480.26, -0.352735
-479.26, -0.352007
-478.26, -0.351279
-477.26, -0.350551
-476.26, -0.349823
-475.26, -0.349095
-474.26, -0.348367
-473.26, -0.347639
-472.26, -0.346911
-471.26, -0.346183
-470.26, -0.345455
-469.26, -0.344727
-468.26, -0.343999
-467.26, -0.343271
-466.26, -0.342543
-465.26, -0.341815
-464.26, -0.341088
-463.26, -0.34036
-462.26, -0.339632
-461.26, -0.338905
-460.26, -0.338177
-459.26, -0.337449
-458.26, -0.336722
-457.26, -0.335994
-456.26, -0.335267
-455.26, -0.334539
-454.26, -0.333812
-453.26, -0.333084
-452.26, -0.332357
-451.26, -0.331629
-450.26, -0.330902
-450.26, -0.330902
-449.26, -0.330175
-448.26, -0.329448
-447.26, -0.32872
-446.26, -0.327993
-445.26, -0.327266
-444.26, -0.326539
-443.26, -0.325812
-442.26, -0.325085
-441.26, -0.324358
-440.26, -0.323631
-439.26, -0.322904
-438.26, -0.322177
-437.26, -0.32145
-436.26, -0.320723
-435.26, -0.319996
-434.26, -0.31927
-433.26, -0.318543
-432.26, -0.317816
-431.26, -0.31709
-430.26, -0.316363
-429.26, -0.315636
-428.26, -0.31491
-427.26, -0.314183
-426.26, -0.313457
-425.26, -0.312731
-424.26, -0.312004
-423.26, -0.311278
-422.26, -0.310552
-421.26, -0.309825
-420.26, -0.309099
-419.26, -0.308373
-418.26, -0.307647
-417.26, -0.306921
-416.26, -0.306195
-415.26, -0.305469
-414.26, -0.304743
-413.26, -0.304017
-413.26, -0.304017
-412.26, -0.303291
-411.26, -0.302566
-410.26, -0.30184
-409.26, -0.301114
-408.26, -0.300389
-407.26, -0.299663
-406.26, -0.298938
-405.26, -0.298212
-404.26, -0.297487
-403.26, -0.296761
-402.26, -0.296036
-401.26, -0.295311
-400.26, -0.294586
-399.26, -0.29386
-398.26, -0.293135
-397.26, -0.29241
-396.26, -0.291685
-395.26, -0.29096
-394.26, -0.290235
-393.26, -0.289511
-392.26, -0.288786
-391.26, -0.288061
-390.26, -0.287337
-389.26, -0.286612
-388.26, -0.285887
-387.26, -0.285163
-386.26, -0.284439
-385.26, -0.283714
-384.26, -0.28299
-383.26, -0.282266
-382.26, -0.281542
-381.26, -0.280817
-380.26, -0.280093
-379.26, -0.279369
-378.26, -0.278646
-377.26, -0.277922
-377.26, -0.277922
-376.26, -0.277198
-375.26, -0.276474
-374.26, -0.275751
-373.26, -0.275027
-372.26, -0.274304
-371.26, -0.27358
-370.26, -0.272857
-369.26, -0.272134
-368.26, -0.27141
-367.26, -0.270687
-366.26, -0.269964
-365.26, -0.269241
-364.26, -0.268518
-363.26, -0.267796
-362.26, -0.267073
-361.26, -0.26635
-360.26, -0.265628
-359.26, -0.264905
-358.26, -0.264183
-357.26, -0.26346
-356.26, -0.262738
-355.26, -0.262016
-354.26, -0.261294
-353.26, -0.260572
-352.26, -0.25985
-351.26, -0.259128
-350.26, -0.258407
-349.26, -0.257685
-348.26, -0.256964
-347.26, -0.256242
-346.26, -0.255521
-345.26, -0.254799
-344.26, -0.254078
-343.26, -0.253357
-342.26, -0.252636
-341.26, -0.251915
-340.26, -0.251195
-340.26, -0.251195
-339.26, -0.250474
-338.26, -0.249754
-337.26, -0.249033
-336.26, -0.248313
-335.26, -0.247593
-334.26, -0.246872
-333.26, -0.246152
-332.26, -0.245432
-331.26, -0.244713
-330.26, -0.243993
-329.26, -0.243273
-328.26, -0.242554
-327.26, -0.241835
-326.26, -0.241116
-325.26, -0.240396
-324.26, -0.239677
-323.26, -0.238959
-322.26, -0.23824
-321.26, -0.237521
-320.26, -0.236803
-319.26, -0.236085
-318.26, -0.235366
-317.26, -0.234648
-316.26, -0.23393
-315.26, -0.233213
-314.26, -0.232495
-313.26, -0.231777
-312.26, -0.23106
-311.26, -0.230343
-310.26, -0.229626
-309.26, -0.228909
-308.26, -0.228192
-307.26, -0.227475
-306.26, -0.226759
-305.26, -0.226043
-304.26, -0.225326
-303.26, -0.22461
-303.26, -0.22461
-302.26, -0.223895
-301.26, -0.223179
-300.26, -0.222463
-299.26, -0.221748
-298.26, -0.221033
-297.26, -0.220318
-296.26, -0.219603
-295.26, -0.218888
-294.26, -0.218174
-293.26, -0.217459
-292.26, -0.216745
-291.26, -0.216031
-290.26, -0.215318
-289.26, -0.214604
-288.26, -0.213891
-287.26, -0.213178
-286.26, -0.212465
-285.26, -0.211752
-284.26, -0.211039
-283.26, -0.210327
-282.26, -0.209615
-281.26, -0.208903
-280.26, -0.208191
-279.26, -0.20748
-278.26, -0.206769
-277.26, -0.206058
-276.26, -0.205347
-275.26, -0.204636
-274.26, -0.203926
-273.26, -0.203216
-272.26, -0.202506
-271.26, -0.201796
-270.26, -0.201087
-269.26, -0.200378
-268.26, -0.199669
-267.26, -0.19896
-266.26, -0.198252
-266.26, -0.198252
-265.26, -0.197544
-264.26, -0.196836
-263.26, -0.196129
-262.26, -0.195422
-261.26, -0.194715
-260.26, -0.194008
-259.26, -0.193302
-258.26, -0.192596
-257.26, -0.19189
-256.26, -0.191185
-255.26, -0.190479
-254.26, -0.189775
