# Time, DeltaP
-29.7944, -0.0230031
-28.7944, -0.0231338
-27.7944, -0.0233297
-26.7944, -0.0236004
-25.7944, -0.0239571
-24.7944, -0.0244137
-23.7944, -0.0249864
-22.7944, -0.0256951
-21.7944, -0.0265642
-20.7944, -0.0276235
-19.7944, -0.02891
-18.7944, -0.0304701
-17.7944, -0.0323624
-16.7944, -0.0346618
-15.7944, -0.037465
-14.7944, -0.0408983
-13.7944, -0.0451289
-12.7944, -0.0503814
-11.7944, -0.0569613
-11.7944, -0.0569613
-10.7944, -0.0652907
-9.79444, -0.0759614
-8.79444, -0.0898138
-7.79444, -0.108053
-6.79444, -0.13241
-5.79444, -0.165322
-4.79444, -0.21001
-3.79444, -0.269967
-2.79444, -0.346535
-1.79444, -0.432415
-0.794439, -0.502855
0.205561, -0.521888
1.20556, -0.476975
2.20556, -0.394998
3.20556, -0.310143
4.20556, -0.239264
5.20556, -0.185006
6.20556, -0.144636
7.20556, -0.114633
8.20556, -0.092086
9.20556, -0.0748699
10.2056, -0.061492
11.2056, -0.0509138
12.2056, -0.0424086
13.2056, -0.0354624
14.2056, -0.0297062
15.2056, -0.0248713
16.2056, -0.0207591
17.2056, -0.0172209
18.2056, -0.0141436
19.2056, -0.0114403
20.2056, -0.00904348
21.2056, -0.00689989
22.2056, -0.00496731
23.2056, -0.00321186
24.2056, -0.00160615
25.2056, -0.000127848
25.2056, -0.000127848
26.2056, 0.00124141
27.2056, 0.00251681
28.2056, 0.00371099
29.2056, 0.00483457
30.2056, 0.00589646
31.2056, 0.00690425
32.2056, 0.00786439
33.2056, 0.00878239
