# Time, DeltaP, DeltaP_err
-75.6025, -751.437, 0.0719279
-74.6025, -751.457, 0.0719279
-73.6025, -751.457, 0.0719279
-72.6025, -751.447, 0.0719279
-71.6025, -751.447, 0.0719279
-70.6025, -751.507, 0.0719279
-69.6025, -751.467, 0.0719279
-68.6025, -751.517, 0.0719279
-67.6025, -751.477, 0.0719279
-66.6025, -751.447, 0.0719279
-65.6025, -751.497, 0.0719279
-64.6025, -751.477, 0.0719279
-63.6025, -751.487, 0.0719279
-62.6025, -751.507, 0.0719279
-61.6025, -751.507, 0.0719279
-60.6025, -751.557, 0.0719279
-59.6025, -751.487, 0.0719279
-58.6025, -751.557, 0.0719279
-57.6025, -751.517, 0.0719279
-56.6025, -751.557, 0.0719279
-56.6025, -751.587, 0.0719279
-55.6025, -751.567, 0.0719279
-54.6025, -751.567, 0.0719279
-53.6025, -751.587, 0.0719279
-52.6025, -751.597, 0.0719279
-51.6025, -751.597, 0.0719279
-50.6025, -751.507, 0.0719279
-49.6025, -751.557, 0.0719279
-48.6025, -751.557, 0.0719279
-47.6025, -751.537, 0.0719279
-46.6025, -751.537, 0.0719279
-45.6025, -751.577, 0.0719279
-44.6025, -751.607, 0.0719279
-43.6025, -751.697, 0.0719279
-42.6025, -751.627, 0.0719279
-41.6025, -751.677, 0.0719279
-40.6025, -751.677, 0.0719279
-39.6025, -751.707, 0.0719279
-38.6025, -751.667, 0.0719279
-37.6025, -751.667, 0.0719279
-36.6025, -751.687, 0.0719279
-35.6025, -751.707, 0.0719279
-34.6025, -751.737, 0.0719279
-33.6025, -751.777, 0.0719279
-32.6025, -751.787, 0.0719279
-31.6025, -751.807, 0.0719279
-30.6025, -751.897, 0.0719279
-29.6025, -751.897, 0.0719279
-28.6025, -751.967, 0.0719279
-27.6025, -751.997, 0.0719279
-26.6025, -751.927, 0.0719279
-25.6025, -752.047, 0.0719279
-24.6025, -752.067, 0.0719279
-23.6025, -752.047, 0.0719279
-22.6025, -752.097, 0.0719279
-21.6025, -752.157, 0.0719279
-20.6025, -752.097, 0.0719279
-19.6025, -752.097, 0.0719279
-19.6025, -752.077, 0.0719279
-18.6025, -752.057, 0.0719279
-17.6025, -752.057, 0.0719279
-16.6025, -752.057, 0.0719279
-15.6025, -752.107, 0.0719279
-14.6025, -752.177, 0.0719279
-13.6025, -752.207, 0.0719279
-12.6025, -752.177, 0.0719279
-11.6025, -752.277, 0.0719279
-10.6025, -752.367, 0.0719279
-9.60248, -752.477, 0.0719279
-8.60248, -752.657, 0.0719279
-7.60248, -752.687, 0.0719279
-6.60248, -752.647, 0.0719279
-5.60248, -752.817, 0.0719279
-4.60248, -752.937, 0.0719279
-3.60248, -753.037, 0.0719279
-2.60248, -753.187, 0.0719279
-1.60248, -753.197, 0.0719279
-0.602477, -753.197, 0.0719279
0.397523, -753.197, 0.0719279
1.39752, -753.087, 0.0719279
2.39752, -752.957, 0.0719279
3.39752, -752.917, 0.0719279
4.39752, -752.867, 0.0719279
5.39752, -752.797, 0.0719279
6.39752, -752.807, 0.0719279
7.39752, -752.717, 0.0719279
8.39752, -752.737, 0.0719279
9.39752, -752.627, 0.0719279
10.3975, -752.557, 0.0719279
11.3975, -752.447, 0.0719279
12.3975, -752.457, 0.0719279
13.3975, -752.317, 0.0719279
14.3975, -752.317, 0.0719279
15.3975, -752.227, 0.0719279
16.3975, -752.167, 0.0719279
16.3975, -752.127, 0.0719279
17.3975, -752.107, 0.0719279
18.3975, -752.077, 0.0719279
19.3975, -752.037, 0.0719279
20.3975, -752.017, 0.0719279
21.3975, -752.087, 0.0719279
22.3975, -752.017, 0.0719279
23.3975, -751.997, 0.0719279
24.3975, -751.997, 0.0719279
25.3975, -751.957, 0.0719279
26.3975, -751.917, 0.0719279
27.3975, -751.937, 0.0719279
28.3975, -751.977, 0.0719279
29.3975, -751.917, 0.0719279
30.3975, -751.917, 0.0719279
31.3975, -751.947, 0.0719279
32.3975, -751.927, 0.0719279
33.3975, -751.947, 0.0719279
34.3975, -751.907, 0.0719279
35.3975, -751.927, 0.0719279
36.3975, -751.867, 0.0719279
37.3975, -751.907, 0.0719279
38.3975, -751.937, 0.0719279
39.3975, -751.867, 0.0719279
40.3975, -751.867, 0.0719279
41.3975, -751.847, 0.0719279
42.3975, -751.847, 0.0719279
43.3975, -751.827, 0.0719279
44.3975, -751.827, 0.0719279
45.3975, -751.807, 0.0719279
46.3975, -751.817, 0.0719279
47.3975, -751.837, 0.0719279
48.3975, -751.747, 0.0719279
49.3975, -751.817, 0.0719279
50.3975, -751.837, 0.0719279
51.3975, -751.797, 0.0719279
52.3975, -751.797, 0.0719279
53.3975, -751.777, 0.0719279
53.3975, -751.797, 0.0719279
54.3975, -751.787, 0.0719279
55.3975, -751.787, 0.0719279
56.3975, -751.717, 0.0719279
57.3975, -751.697, 0.0719279
58.3975, -751.637, 0.0719279
59.3975, -751.697, 0.0719279
60.3975, -751.697, 0.0719279
61.3975, -751.677, 0.0719279
62.3975, -751.677, 0.0719279
63.3975, -751.687, 0.0719279
64.3975, -751.637, 0.0719279
65.3975, -751.667, 0.0719279
66.3975, -751.667, 0.0719279
67.3975, -751.647, 0.0719279
68.3975, -751.627, 0.0719279
69.3975, -751.627, 0.0719279
70.3975, -751.627, 0.0719279
71.3975, -751.697, 0.0719279
72.3975, -751.657, 0.0719279
73.3975, -751.657, 0.0719279
74.3975, -751.617, 0.0719279
75.3975, -751.637, 0.0719279
