SCLK,LMST,LTST,PRESSURE,PRESSURE_UNCERTAINTY,TRANSDUCER
674795266,00089M00:02:41.133,0088 23:56:03,759.24,,1
674795267,00089M00:02:42.106,0088 23:56:04,759.22,,1
674795268,00089M00:02:43.080,0088 23:56:05,759.26,,1
674795269,00089M00:02:44.053,0088 23:56:06,759.19,,1
674795270,00089M00:02:45.026,0088 23:56:07,759.19,,1
674795271,00089M00:02:45.999,0088 23:56:08,759.23,,1
674795272,00089M00:02:46.973,0088 23:56:09,759.23,,1
674795273,00089M00:02:47.946,0088 23:56:10,759.21,,1
674795274,00089M00:02:48.919,0088 23:56:11,759.25,,1
674795275,00089M00:02:49.893,0088 23:56:11,759.18,,1
674795276,00089M00:02:50.866,0088 23:56:12,759.22,,1
674795277,00089M00:02:51.839,0088 23:56:13,759.20,,1
674795278,00089M00:02:52.812,0088 23:56:14,759.25,,1
674795279,00089M00:02:53.786,0088 23:56:15,759.27,,1
674795280,00089M00:02:54.759,0088 23:56:16,759.24,,1
674795281,00089M00:02:55.732,0088 23:56:17,759.24,,1
674795282,00089M00:02:56.705,0088 23:56:18,759.24,,1
674795283,00089M00:02:57.679,0088 23:56:19,759.24,,1
674795284,00089M00:02:58.652,0088 23:56:20,759.22,,1
674795285,00089M00:02:59.625,0088 23:56:21,759.24,,1
674795286,00089M00:03:00.598,0088 23:56:22,759.23,,1
674795287,00089M00:03:01.572,0088 23:56:23,759.23,,1
674795288,00089M00:03:02.545,0088 23:56:24,759.23,,1
674795289,00089M00:03:03.518,0088 23:56:25,759.19,,1
674795290,00089M00:03:04.491,0088 23:56:26,759.21,,1
674795291,00089M00:03:05.465,0088 23:56:27,759.23,,1
674795292,00089M00:03:06.438,0088 23:56:28,759.20,,1
674795293,00089M00:03:07.411,0088 23:56:29,759.22,,1
674795294,00089M00:03:08.384,0088 23:56:30,759.18,,1
674795295,00089M00:03:09.358,0088 23:56:31,759.22,,1
674795296,00089M00:03:10.331,0088 23:56:32,759.20,,1
674795297,00089M00:03:11.304,0088 23:56:33,759.22,,1
674795298,00089M00:03:12.277,0088 23:56:34,759.17,,1
674795299,00089M00:03:13.251,0088 23:56:35,759.22,,1
674795300,00089M00:03:14.224,0088 23:56:36,759.24,,1
674795301,00089M00:03:15.197,0088 23:56:37,759.22,,1
674795302,00089M00:03:16.170,0088 23:56:38,759.26,,1
674795303,00089M00:03:17.144,0088 23:56:39,759.23,,1
674795304,00089M00:03:18.117,0088 23:56:40,759.23,,1
674795305,00089M00:03:19.090,0088 23:56:41,759.27,,1
674795306,00089M00:03:20.063,0088 23:56:42,759.27,,1
674795307,00089M00:03:21.037,0088 23:56:43,759.23,,1
674795308,00089M00:03:22.010,0088 23:56:44,759.23,,1
674795309,00089M00:03:22.983,0088 23:56:45,759.21,,1
674795310,00089M00:03:23.956,0088 23:56:46,759.20,,1
674795311,00089M00:03:24.930,0088 23:56:47,759.22,,1
674795312,00089M00:03:25.903,0088 23:56:48,759.26,,1
674795313,00089M00:03:26.876,0088 23:56:48,759.24,,1
674795314,00089M00:03:27.849,0088 23:56:49,759.26,,1
674795315,00089M00:03:28.823,0088 23:56:50,759.26,,1
674795316,00089M00:03:29.796,0088 23:56:51,759.24,,1
